% Notes to accompany the alignment of (tentative) orthologues
% for the canonical transcript of the human gene ENSG00000108846, 
% ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:54]
%%
% The alignment shows the exons from the following genes: 
% species                         common_name                     gene_id                        
 human                           homo_sapiens                    ENSG00000108846                
 gorilla                         gorilla_gorilla                 ENSGGOG00000003404             
 chimpanzee                      pan_troglodytes                 ENSPTRG00000009406             
 orangutan                       pongo_abelii                    ENSPPYG00000008276             
 gibbon                          nomascus_leucogenys             ENSNLEG00000007875             
 gibbon_2                        nomascus_leucogenys             ENSNLEG00000007870             
 macaque                         macaca_mulatta                  ENSMMUG00000003414             
 marmoset                        callithrix_jacchus              ENSCJAG00000018609             
 tarsier                         tarsius_syrichta                ENSTSYG00000011928             
 lemur                           microcebus_murinus              ENSMICG00000009822             
 galago_lemur_3                  otolemur_garnettii              ENSOGAG00000034471             
 galago_lemur                    otolemur_garnettii              ENSOGAG00000004530             
 galago_lemur_2                  otolemur_garnettii              ENSOGAG00000032112             
 guinea_pig                      cavia_porcellus                 ENSCPOG00000013296             
 squirrel                        ictidomys_tridecemlineatus      ENSSTOG00000027974             
 mouse                           mus_musculus                    ENSMUSG00000020865             
 rat                             rattus_norvegicus               ENSRNOG00000002948             
 pika                            ochotona_princeps               ENSOPRG00000013477             
 rabbit                          oryctolagus_cuniculus           ENSOCUG00000002754             
 tree_shrew                      tupaia_belangeri                ENSTBEG00000006360             
 european_shrew                  sorex_araneus                   ENSSARG00000009747             
 madagascar_hedgehog             echinops_telfairi               ENSETEG00000009934             
 elephant                        loxodonta_africana              ENSLAFG00000007037             
 hyrax                           procavia_capensis               ENSPCAG00000009225             
 wallaby                         macropus_eugenii                ENSMEUG00000004456             
 opossum_2                       monodelphis_domestica           ENSMODG00000012730             
 opossum                         monodelphis_domestica           ENSMODG00000020910             
 tasmanian_devil                 sarcophilus_harrisii            ENSSHAG00000016312             
 platypus                        ornithorhynchus_anatinus        ENSOANG00000013332             
 anole_lizard_2                  anolis_carolinensis             ENSACAG00000001396             
 anole_lizard                    anolis_carolinensis             ENSACAG00000001383             
 chicken                         gallus_gallus                   ENSGALG00000007522             
 turkey                          meleagris_gallopavo             ENSMGAG00000008701             
 zebra_finch                     taeniopygia_guttata             ENSTGUG00000009151             
 turtle                          pelodiscus_sinensis             ENSPSIG00000011887             
 xenopus                         xenopus_tropicalis              ENSXETG00000012239             
 coelacanth_2                    latimeria_chalumnae             ENSLACG00000006619             
 coelacanth                      latimeria_chalumnae             ENSLACG00000007209             
 zebrafish                       danio_rerio                     ENSDARG00000077243             
 cod                             gadus_morhua                    ENSGMOG00000010029             
 stickleback                     gasterosteus_aculeatus          ENSGACG00000005901             
 medaka                          oryzias_latipes                 ENSORLG00000020741             
 platyfish                       xiphophorus_maculatus           ENSXMAG00000012203             
 tilapia                         oreochromis_niloticus           ENSONIG00000019586             
 fugu                            takifugu_rubripes               ENSTRUG00000002402             
 pufferfish                      tetraodon_nigroviridis          ENSTNIG00000004171             

% The following exons appear in the alignment

% sequence name: human   corresponding to the gene: ENSG00000108846 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSETEE00000122766        25604       25691     1       1            ensembl_projection   ENSE00002838555 
    ENSETEE00000122772        25942       26008     1       1            ensembl_projection   ENSE00002808801 
    ENSETEE00000122777        26232       26358     1       1            ensembl_projection   ENSE00002825804 
  echinops_telfairi_1_3        26444       26545     1       0            usearch, by sim to ENSLAFE00000080114, loxodonta_africana   ENSE00002880878 
    ENSETEE00000122789        29022       29189     1       1            ensembl_projection   ENSE00002754727 
    ENSETEE00000122792        29456       29645     1       1            ensembl_projection   ENSE00002853345 
    ENSETEE00000122795        31629       31734     1       1            ensembl_projection   ENSE00002777896 
    ENSETEE00000122797        31826       31973     1       1            ensembl_projection   ENSE00002797748 
    ENSETEE00000122800        32066       32273     1       1            ensembl_projection   ENSE00002897593 
    ENSETEE00000122802        32493       32803     1       1            ensembl_projection   ENSE00002753062 
    ENSETEE00000122803        34124       34323     1       1            ensembl_projection   ENSE00001109871 
    ENSETEE00000122804        34449       34575     1       1            ensembl_projection   ENSE00001304270 
    ENSETEE00000122805        35583       35684     1       1            ensembl_projection   ENSE00002942575 
    ENSETEE00000122806        51457       51603     1       1            ensembl_projection   ENSE00002737071 
    ENSETEE00000122807        51701       51859     1       1            ensembl_projection   ENSE00002758398 
    ENSETEE00000122808        52268       52434     1       1            ensembl_projection   ENSE00002974467 
    ENSETEE00000122810        97048       97198     1       1            ensembl_projection   ENSE00002762009 

% sequence name: elephant   corresponding to the gene: ENSLAFG00000007037 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSLAFE00000378186            0         125     1       1            ensembl   ENSE00002863798 
    ENSLAFE00000387037          347         484     1       1            ensembl   ENSE00002884336 
    ENSLAFE00000386948         1519        1644     1       1            ensembl   ENSE00002908859 
    ENSLAFE00000386819         1905        1966     1       1            ensembl   ENSE00002864408 
    ENSLAFE00000458599         2750        2881     1       1            ensembl   ENSE00002804371 
    ENSLAFE00000427141         4096        4287     1       1            ensembl   ENSE00002809886 
    ENSLAFE00000080070         7265        7442     1       1            ensembl   ENSE00002889551 
    ENSLAFE00000080072         7526        7687     1       1            ensembl   ENSE00002758535 
    ENSLAFE00000080074         8214        8306     1       1            ensembl   ENSE00002840855 
    ENSLAFE00000080076         9740        9943     1       1            ensembl   ENSE00002839115 
    ENSLAFE00000378550        10077       10223     1       1            ensembl   ENSE00002764761 
    ENSLAFE00000432846        10619       10706     1       1            ensembl   ENSE00002838555 
    ENSLAFE00000396823        11119       11185     1       1            ensembl   ENSE00002808801 
    ENSLAFE00000367341        11411       11537     1       1            ensembl   ENSE00002825804 
    ENSLAFE00000080114        11623       11799     1       1            ensembl   ENSE00002880878 
    ENSLAFE00000080116        13555       13722     1       1            ensembl   ENSE00002754727 
    ENSLAFE00000080123        14031       14211     1       1            ensembl   ENSE00002853345 
    ENSLAFE00000080128        16570       16684     1       1            ensembl   ENSE00002777896 
    ENSLAFE00000080132        16889       17036     1       1            ensembl   ENSE00002797748 
    ENSLAFE00000080134        17132       17339     1       1            ensembl   ENSE00002897593 
    ENSLAFE00000080137        18187       18497     1       1            ensembl   ENSE00002753062 
    ENSLAFE00000080147        20811       21010     1       1            ensembl   ENSE00001109871 
    ENSLAFE00000080149        21172       21298     1       1            ensembl   ENSE00001304270 
    ENSLAFE00000384475        22438       22539     1       1            ensembl   ENSE00002942575 
    ENSLAFE00000448280        26839       26985     1       1            ensembl   ENSE00002737071 
    ENSLAFE00000409214        27206       27364     1       1            ensembl   ENSE00002758398 
    ENSLAFE00000375466        27945       28111     1       1            ensembl   ENSE00002974467 
    ENSLAFE00000416552        31201       31395     1       1            ensembl   ENSE00002762009 
    ENSLAFE00000380950        34382       34490     1       1            ensembl   ENSE00002485196 

% sequence name: hyrax   corresponding to the gene: ENSPCAG00000009225 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSPCAE00000118138            0          44     1       1            ensembl_projection   ENSE00001340022 
    ENSPCAE00000118261        15534       15659     1       1            ensembl_projection   ENSE00002863798 
    ENSPCAE00000118285        15860       15997     1       1            ensembl_projection   ENSE00002884336 
    ENSPCAE00000118353        16956       17081     1       1            ensembl_projection   ENSE00002908859 
    ENSPCAE00000118416        17350       17411     1       1            ensembl_projection   ENSE00002864408 
    ENSPCAE00000118506        18215       18346     1       1            ensembl_projection   ENSE00002804371 
    ENSPCAE00000118567        18971       19162     1       1            ensembl_projection   ENSE00002809886 
    ENSPCAE00000118640        22086       22263     1       1            ensembl_projection   ENSE00002889551 
    ENSPCAE00000118755        22357       22518     1       1            ensembl_projection   ENSE00002758535 
    ENSPCAE00000118812        23072       23164     1       1            ensembl_projection   ENSE00002840855 
    ENSPCAE00000118868        24772       24975     1       1            ensembl_projection   ENSE00002839115 
    ENSPCAE00000118910        25108       25254     1       1            ensembl_projection   ENSE00002764761 
    ENSPCAE00000118975        25642       25668     1       1            ensembl_projection   ENSE00002838555 
    ENSPCAE00000119078        25671       25728     1       1            ensembl_projection   ENSE00002838555 
    ENSPCAE00000119149        26020       26086     1       1            ensembl_projection   ENSE00002808801 
    ENSPCAE00000119218        26327       26453     1       1            ensembl_projection   ENSE00002825804 
    ENSPCAE00000119266        26539       26715     1       1            ensembl_projection   ENSE00002880878 
    ENSPCAE00000119316        29067       29234     1       1            ensembl_projection   ENSE00002754727 
    ENSPCAE00000119377        29531       29720     1       1            ensembl_projection   ENSE00002853345 
    ENSPCAE00000119441        31685       31799     1       1            ensembl_projection   ENSE00002777896 
    ENSPCAE00000119508        32010       32154     1       1            ensembl_projection   ENSE00002797748 
    ENSPCAE00000119572        32249       32456     1       1            ensembl_projection   ENSE00002897593 
    ENSPCAE00000119630        33384       33694     1       1            ensembl_projection   ENSE00002753062 
    ENSPCAE00000119691        35192       35391     1       1            ensembl_projection   ENSE00001109871 
    ENSPCAE00000119757        35553       35679     1       1            ensembl_projection   ENSE00001304270 
    ENSPCAE00000119807        36782       36883     1       1            ensembl_projection   ENSE00002942575 
    ENSPCAE00000119890        41136       41195     1       1            ensembl_projection   ENSE00002737071 
    ENSPCAE00000119992        41206       41280     1       1            ensembl_projection   ENSE00002737071 
    ENSPCAE00000120051        41497       41655     1       1            ensembl_projection   ENSE00002758398 
    ENSPCAE00000120140        42219       42385     1       1            ensembl_projection   ENSE00002974467 
    ENSPCAE00000120199        45271       45465     1       1            ensembl_projection   ENSE00002762009 
    ENSPCAE00000120262        48318       48426     1       1            ensembl_projection   ENSE00002485196 

% sequence name: wallaby   corresponding to the gene: ENSMEUG00000004456 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMEUE00000056737            0          44     1       1            ensembl_projection   ENSE00001340022 
    ENSMEUE00000056750        30189       30365     1       1            ensembl_projection   ENSE00002937575 
    ENSMEUE00000056762        30956       31081     1       1            ensembl_projection   ENSE00002863798 
    ENSMEUE00000056779        31688       31825     1       1            ensembl_projection   ENSE00002884336 
    ENSMEUE00000056792        32355       32483     1       1            ensembl_projection   ENSE00002908859 
    ENSMEUE00000056806        32786       32847     1       1            ensembl_projection   ENSE00002864408 
    ENSMEUE00000056824        33644       33775     1       1            ensembl_projection   ENSE00002804371 
    ENSMEUE00000056869        35667       35848     1       1            ensembl_projection   ENSE00002809886 
    ENSMEUE00000056884        36623       36800     1       1            ensembl_projection   ENSE00002889551 
    ENSMEUE00000056896        36995       37156     1       1            ensembl_projection   ENSE00002758535 
    ENSMEUE00000056909        38712       38804     1       1            ensembl_projection   ENSE00002840855 
    ENSMEUE00000056925        39302       39505     1       1            ensembl_projection   ENSE00002839115 
    ENSMEUE00000056939        41226       41372     1       1            ensembl_projection   ENSE00002764761 
    ENSMEUE00000056951        41707       41794     1       1            ensembl_projection   ENSE00002838555 
    ENSMEUE00000056964        42900       42966     1       1            ensembl_projection   ENSE00002808801 
    ENSMEUE00000056979        43267       43393     1       1            ensembl_projection   ENSE00002825804 
    ENSMEUE00000056991        43605       43781     1       1            ensembl_projection   ENSE00002880878 
    ENSMEUE00000057028        48890       48995     1       1            ensembl_projection   ENSE00002777896 
    ENSMEUE00000057038        49346       49490     1       1            ensembl_projection   ENSE00002797748 
    ENSMEUE00000057050        49804       50011     1       1            ensembl_projection   ENSE00002897593 
    ENSMEUE00000057071        50745       50921     1       1            ensembl_projection   ENSE00002753062 
    ENSMEUE00000057088        51300       51499     1       1            ensembl_projection   ENSE00001109871 
    ENSMEUE00000057103        51680       51806     1       1            ensembl_projection   ENSE00001304270 
    ENSMEUE00000057117        52391       52492     1       1            ensembl_projection   ENSE00002942575 
    ENSMEUE00000057128        55863       55994     1       1            ensembl_projection   ENSE00002737071 
    ENSMEUE00000057172        57993       58159     1       1            ensembl_projection   ENSE00002974467 
    ENSMEUE00000057253        66817       66925     1       1            ensembl_projection   ENSE00002485196 

% sequence name: opossum_2   corresponding to the gene: ENSMODG00000012730 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMODE00000258283            0          65     1       1            ensembl   ENSE00002777896 
    ENSMODE00000132031          879        1086     1       1            ensembl   ENSE00002897593 
    ENSMODE00000132032         2405        2715     1       1            ensembl   ENSE00002753062 
    ENSMODE00000132033         3047        3246     1       1            ensembl   ENSE00001109871 
    ENSMODE00000132034         3450        3576     1       1            ensembl   ENSE00001304270 
    ENSMODE00000132035         4884        4985     1       1            ensembl   ENSE00002942575 
    ENSMODE00000132036         8806        8952     1       1            ensembl   ENSE00002737071 
    ENSMODE00000132037         9222        9380     1       1            ensembl   ENSE00002758398 
    ENSMODE00000132038        11683       11849     1       1            ensembl   ENSE00002974467 
    ENSMODE00000132039        15256       15450     1       1            ensembl   ENSE00002762009 
    ENSMODE00000132040        19422       20401     1       1            ensembl   ENSE00002485196 

% sequence name: opossum   corresponding to the gene: ENSMODG00000020910 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMODE00000216163            0         180     1       1            ensembl   ENSE00002937575 
    ENSMODE00000216164          784         905     1       1            ensembl   ENSE00002863798 
    ENSMODE00000216165         1224        1361     1       1            ensembl   ENSE00002884336 
    ENSMODE00000216166         1980        2108     1       1            ensembl   ENSE00002908859 
    ENSMODE00000216167         2447        2508     1       1            ensembl   ENSE00002864408 
    ENSMODE00000216168         3426        3557     1       1            ensembl   ENSE00002804371 
    ENSMODE00000216169         5401        5595     1       1            ensembl   ENSE00002809886 
    ENSMODE00000216170         6902        7079     1       1            ensembl   ENSE00002889551 
    ENSMODE00000216171         7248        7913     1       1            ensembl   ENSE00002758535 

% sequence name: tasmanian_devil   corresponding to the gene: ENSSHAG00000016312 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSSHAE00000163103         1749        1925     1       1            ensembl   ENSE00002937575 
    ENSSHAE00000163104         2537        2662     1       1            ensembl   ENSE00002863798 
    ENSSHAE00000163105         3187        3324     1       1            ensembl   ENSE00002884336 
    ENSSHAE00000163106         3854        3982     1       1            ensembl   ENSE00002908859 
    ENSSHAE00000163107         4309        4370     1       1            ensembl   ENSE00002864408 
    ENSSHAE00000163108         5150        5282     1       1            ensembl   ENSE00002804371 
    ENSSHAE00000163109         7332        7534     1       1            ensembl   ENSE00002809886 
    ENSSHAE00000163110         8277        8454     1       1            ensembl   ENSE00002889551 
    ENSSHAE00000163111         8666        8827     1       1            ensembl   ENSE00002758535 
    ENSSHAE00000163112         9540        9629     1       1            ensembl   ENSE00002840855 
    ENSSHAE00000163114        11835       12038     1       1            ensembl   ENSE00002839115 
    ENSSHAE00000163115        13977       14123     1       1            ensembl   ENSE00002764761 
    ENSSHAE00000163116        14467       14554     1       1            ensembl   ENSE00002838555 
    ENSSHAE00000163117        15731       15797     1       1            ensembl   ENSE00002808801 
    ENSSHAE00000163118        16060       16186     1       1            ensembl   ENSE00002825804 
    ENSSHAE00000163119        16381       16557     1       1            ensembl   ENSE00002880878 
    ENSSHAE00000163120        20526       20693     1       1            ensembl   ENSE00002754727 
    ENSSHAE00000163121        21551       21740     1       1            ensembl   ENSE00002853345 
    ENSSHAE00000163122        24346       24451     1       1            ensembl   ENSE00002777896 
    ENSSHAE00000163123        24815       24956     1       1            ensembl   ENSE00002797748 
    ENSSHAE00000163124        25261       25468     1       1            ensembl   ENSE00002897593 
    ENSSHAE00000163125        25948       26258     1       1            ensembl   ENSE00002753062 
    ENSSHAE00000163126        26657       26856     1       1            ensembl   ENSE00001109871 
    ENSSHAE00000163127        27083       27209     1       1            ensembl   ENSE00001304270 
    ENSSHAE00000163128        27766       27867     1       1            ensembl   ENSE00002942575 
    ENSSHAE00000163129        31734       31880     1       1            ensembl   ENSE00002737071 
    ENSSHAE00000163130        32157       32315     1       1            ensembl   ENSE00002758398 
    ENSSHAE00000163131        33823       33989     1       1            ensembl   ENSE00002974467 
    ENSSHAE00000163132        39303       39497     1       1            ensembl   ENSE00002762009 
    ENSSHAE00000163133        42861       42969     1       1            ensembl   ENSE00002485196 

% sequence name: platypus   corresponding to the gene: ENSOANG00000013332 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSOANE00000143895            0         209     1       1            ensembl   ENSE00002754727 
    ENSOANE00000143896          736         912     1       1            ensembl   ENSE00002853345 
    ENSOANE00000143901         3835        4042     1       1            ensembl   ENSE00002897593 
    ENSOANE00000143903         4492        4802     1       1            ensembl   ENSE00002753062 
    ENSOANE00000143904         5084        5283     1       1            ensembl   ENSE00001109871 
    ENSOANE00000143906         5590        5716     1       1            ensembl   ENSE00001304270 
    ENSOANE00000143907         6859        6960     1       1            ensembl   ENSE00002942575 
    ENSOANE00000143908         7266        7412     1       1            ensembl   ENSE00002737071 
    ENSOANE00000143910         7542        7752     1       1            ensembl   ENSE00002758398 
    ENSOANE00000143912         8287        8392     1       1            ensembl   ENSE00002974467 
    ENSOANE00000143918        11412       11520     1       1            ensembl   ENSE00002485196 

% sequence name: anole_lizard_2   corresponding to the gene: ENSACAG00000001396 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSACAE00000012378            0         161     1       1            ensembl   ENSE00002758535 
    ENSACAE00000012432         1346        1438     1       1            ensembl   ENSE00002840855 
    ENSACAE00000012483         7582        7785     1       1            ensembl   ENSE00002839115 
    ENSACAE00000012552         9063        9209     1       1            ensembl   ENSE00002764761 
    ENSACAE00000012607        13825       13912     1       1            ensembl   ENSE00002838555 
    ENSACAE00000012661        16095       16161     1       1            ensembl   ENSE00002808801 
    ENSACAE00000012706        19170       19296     1       1            ensembl   ENSE00002825804 
    ENSACAE00000012768        19406       19582     1       1            ensembl   ENSE00002880878 
    ENSACAE00000012814        21388       21555     1       1            ensembl   ENSE00002754727 
    ENSACAE00000012868        22705       22888     1       1            ensembl   ENSE00002853345 
    ENSACAE00000012953        23611       23713     1       1            ensembl   ENSE00002777896 
    ENSACAE00000012989        23809       23971     1       1            ensembl   ENSE00002797748 
    ENSACAE00000013056        24896       25103     1       1            ensembl   ENSE00002897593 
    ENSACAE00000013114        27661       27971     1       1            ensembl   ENSE00002753062 
    ENSACAE00000013174        29991       30190     1       1            ensembl   ENSE00001109871 
    ENSACAE00000013235        30301       30427     1       1            ensembl   ENSE00001304270 
    ENSACAE00000013284        32011       32112     1       1            ensembl   ENSE00002942575 
    ENSACAE00000013349        36964       37110     1       1            ensembl   ENSE00002737071 
    ENSACAE00000013421        38227       38385     1       1            ensembl   ENSE00002758398 
    ENSACAE00000209634        42568       42734     1       1            ensembl   ENSE00002974467 
    ENSACAE00000013494        44517       44711     1       1            ensembl   ENSE00002762009 
    ENSACAE00000208041        46379       46487     1       1            ensembl   ENSE00002485196 

% sequence name: anole_lizard   corresponding to the gene: ENSACAG00000001383 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSACAE00000011856          381         559     1       1            ensembl   ENSE00002937575 
    ENSACAE00000011902         2822        2947     1       1            ensembl   ENSE00002863798 
    ENSACAE00000011952         4618        4755     1       1            ensembl   ENSE00002884336 
    ENSACAE00000012007         6710        6835     1       1            ensembl   ENSE00002908859 
    ENSACAE00000012060         7962        8023     1       1            ensembl   ENSE00002864408 
    ENSACAE00000012110        12308       12439     1       1            ensembl   ENSE00002804371 
    ENSACAE00000012258        18585       18747     1       1            ensembl   ENSE00002809886 
    ENSACAE00000012318        20521       20698     1       1            ensembl   ENSE00002889551 

% sequence name: chicken   corresponding to the gene: ENSGALG00000007522 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSGALE00000080536          544         720     1       1            ensembl   ENSE00002937575 
    ENSGALE00000080541         1593        1718     1       1            ensembl   ENSE00002863798 
    ENSGALE00000080567         2563        2700     1       1            ensembl   ENSE00002884336 
    ENSGALE00000080598         4806        4931     1       1            ensembl   ENSE00002908859 
    ENSGALE00000080556         5678        5739     1       1            ensembl   ENSE00002864408 
    ENSGALE00000080603         6917        7048     1       1            ensembl   ENSE00002804371 
    ENSGALE00000080582        10352       10549     1       1            ensembl   ENSE00002809886 
    ENSGALE00000080591        12823       13000     1       1            ensembl   ENSE00002889551 
    ENSGALE00000080538        13559       13720     1       1            ensembl   ENSE00002758535 
    ENSGALE00000080561        14740       14832     1       1            ensembl   ENSE00002840855 
    ENSGALE00000080537        16116       16319     1       1            ensembl   ENSE00002839115 
    ENSGALE00000080560        17281       17427     1       1            ensembl   ENSE00002764761 
    ENSGALE00000080581        17833       17920     1       1            ensembl   ENSE00002838555 
    ENSGALE00000080558        18908       18974     1       1            ensembl   ENSE00002808801 
    ENSGALE00000080594        20575       20701     1       1            ensembl   ENSE00002825804 
    ENSGALE00000080535        21048       21224     1       1            ensembl   ENSE00002880878 
    ENSGALE00000080571        22055       22222     1       1            ensembl   ENSE00002754727 
    ENSGALE00000080540        22972       23155     1       1            ensembl   ENSE00002853345 
    ENSGALE00000251024        23772       23877     1       1            ensembl   ENSE00002777896 
    ENSGALE00000080607        24420       24573     1       1            ensembl   ENSE00002797748 
    ENSGALE00000080590        25645       25852     1       1            ensembl   ENSE00002897593 
    ENSGALE00000080548        27127       27437     1       1            ensembl   ENSE00002753062 
    ENSGALE00000080579        28098       28297     1       1            ensembl   ENSE00001109871 
    ENSGALE00000080605        28397       28523     1       1            ensembl   ENSE00001304270 
    ENSGALE00000080545        29164       29265     1       1            ensembl   ENSE00002942575 
    ENSGALE00000080557        30235       30381     1       1            ensembl   ENSE00002737071 
    ENSGALE00000080585        31286       31444     1       1            ensembl   ENSE00002758398 
    ENSGALE00000080573        31737       31903     1       1            ensembl   ENSE00002974467 
    ENSGALE00000080595        32803       32997     1       1            ensembl   ENSE00002762009 
    ENSGALE00000080578        33576       33994     1       1            ensembl   ENSE00002485196 

% sequence name: turkey   corresponding to the gene: ENSMGAG00000008701 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMGAE00000088614            0         221     1       1            ensembl   ENSE00002937575 
    ENSMGAE00000088631         1117        1242     1       1            ensembl   ENSE00002863798 
    ENSMGAE00000088668         2099        2236     1       1            ensembl   ENSE00002884336 
    ENSMGAE00000088687         3870        3995     1       1            ensembl   ENSE00002908859 
    ENSMGAE00000088725         4756        4817     1       1            ensembl   ENSE00002864408 
    ENSMGAE00000088751         6001        6132     1       1            ensembl   ENSE00002804371 
    ENSMGAE00000088793         9447        9644     1       1            ensembl   ENSE00002809886 
    ENSMGAE00000088826        11865       12042     1       1            ensembl   ENSE00002889551 
    ENSMGAE00000088877        12607       12768     1       1            ensembl   ENSE00002758535 
    ENSMGAE00000088894        13789       13881     1       1            ensembl   ENSE00002840855 
    ENSMGAE00000088919        15194       15397     1       1            ensembl   ENSE00002839115 
    ENSMGAE00000088941        16351       16497     1       1            ensembl   ENSE00002764761 
    ENSMGAE00000088968        16902       16989     1       1            ensembl   ENSE00002838555 
    ENSMGAE00000088993        17984       18050     1       1            ensembl   ENSE00002808801 
    ENSMGAE00000089021        19635       19761     1       1            ensembl   ENSE00002825804 
    ENSMGAE00000089044        20110       20286     1       1            ensembl   ENSE00002880878 
    ENSMGAE00000089058        21116       21283     1       1            ensembl   ENSE00002754727 
    ENSMGAE00000089071        22047       22230     1       1            ensembl   ENSE00002853345 
    ENSMGAE00000089097        22866       22971     1       1            ensembl   ENSE00002777896 
    ENSMGAE00000089130        23518       23671     1       1            ensembl   ENSE00002797748 
    ENSMGAE00000089166        24753       24960     1       1            ensembl   ENSE00002897593 
    ENSMGAE00000089190        25447       25757     1       1            ensembl   ENSE00002753062 
    ENSMGAE00000089206        26433       26632     1       1            ensembl   ENSE00001109871 
    ENSMGAE00000089240        26733       26859     1       1            ensembl   ENSE00001304270 
    ENSMGAE00000089268        27467       27568     1       1            ensembl   ENSE00002942575 
    ENSMGAE00000089305        28558       28704     1       1            ensembl   ENSE00002737071 
    ENSMGAE00000089318        29598       29756     1       1            ensembl   ENSE00002758398 
    ENSMGAE00000089328        30049       30215     1       1            ensembl   ENSE00002974467 
    ENSMGAE00000089334        31136       31330     1       1            ensembl   ENSE00002762009 
    ENSMGAE00000089359        31912       32020     1       1            ensembl   ENSE00002485196 

% sequence name: zebra_finch   corresponding to the gene: ENSTGUG00000009151 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSTGUE00000095990            0         182     1       1            ensembl   ENSE00002937575 
    ENSTGUE00000096012         1002        1127     1       1            ensembl   ENSE00002863798 
    ENSTGUE00000096042         2020        2157     1       1            ensembl   ENSE00002884336 
    ENSTGUE00000096064         3825        3950     1       1            ensembl   ENSE00002908859 
    ENSTGUE00000096085         5913        5974     1       1            ensembl   ENSE00002864408 
    ENSTGUE00000096108         7130        7261     1       1            ensembl   ENSE00002804371 
    ENSTGUE00000096149        11374       11532     1       1            ensembl   ENSE00002809886 
    ENSTGUE00000096161        13849       14026     1       1            ensembl   ENSE00002889551 
    ENSTGUE00000096185        15441       15602     1       1            ensembl   ENSE00002758535 
    ENSTGUE00000096203        16594       16686     1       1            ensembl   ENSE00002840855 
    ENSTGUE00000096220        18020       18223     1       1            ensembl   ENSE00002839115 
    ENSTGUE00000096241        19448       19594     1       1            ensembl   ENSE00002764761 
    ENSTGUE00000096262        19993       20080     1       1            ensembl   ENSE00002838555 
    ENSTGUE00000096276        20879       20945     1       1            ensembl   ENSE00002808801 
    ENSTGUE00000096298        22066       22192     1       1            ensembl   ENSE00002825804 
    ENSTGUE00000096315        22506       22682     1       1            ensembl   ENSE00002880878 
    ENSTGUE00000096337        23527       23694     1       1            ensembl   ENSE00002754727 
    ENSTGUE00000096353        24416       24599     1       1            ensembl   ENSE00002853345 
    ENSTGUE00000096375        25469       25574     1       1            ensembl   ENSE00002777896 
    ENSTGUE00000096426        27806       28013     1       1            ensembl   ENSE00002897593 
    ENSTGUE00000096447        28809       29119     1       1            ensembl   ENSE00002753062 
    ENSTGUE00000096479        29849       30048     1       1            ensembl   ENSE00001109871 
    ENSTGUE00000096504        30147       30273     1       1            ensembl   ENSE00001304270 
    ENSTGUE00000096529        31221       31322     1       1            ensembl   ENSE00002942575 
    ENSTGUE00000096554        32278       32424     1       1            ensembl   ENSE00002737071 
    ENSTGUE00000096575        33349       33507     1       1            ensembl   ENSE00002758398 
    ENSTGUE00000096596        33877       34043     1       1            ensembl   ENSE00002974467 
    ENSTGUE00000096628        35095       35289     1       1            ensembl   ENSE00002762009 
    ENSTGUE00000096648        35928       36338     1       1            ensembl   ENSE00002485196 

% sequence name: turtle   corresponding to the gene: ENSPSIG00000011887 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSPSIE00000108110            0         238     1       1            ensembl   ENSE00001340022 
    ENSPSIE00000108115        33687       33863     1       1            ensembl   ENSE00002937575 
    ENSPSIE00000108218        37146       37271     1       1            ensembl   ENSE00002863798 
    ENSPSIE00000108342        38483       38620     1       1            ensembl   ENSE00002884336 
    ENSPSIE00000108464        40560       40685     1       1            ensembl   ENSE00002908859 
    ENSPSIE00000108592        41807       41868     1       1            ensembl   ENSE00002864408 
    ENSPSIE00000108701        44787       44918     1       1            ensembl   ENSE00002804371 
    ENSPSIE00000108804        52105       52323     1       1            ensembl   ENSE00002809886 
    ENSPSIE00000108849        57004       57181     1       1            ensembl   ENSE00002889551 
    ENSPSIE00000108888        57715       57876     1       1            ensembl   ENSE00002758535 
    ENSPSIE00000108972        61211       61303     1       1            ensembl   ENSE00002840855 
    ENSPSIE00000109068        64085       64288     1       1            ensembl   ENSE00002839115 
    ENSPSIE00000109160        68338       68484     1       1            ensembl   ENSE00002764761 
    ENSPSIE00000109252        68876       68963     1       1            ensembl   ENSE00002838555 
